"Ноутбук Asus TUF Gaming A15 FA506NF-HN009 15,6"" (1410826) graphite black",31999,https://cdn.27.ua/190/58/ff/8673535_12.jpeg,/ua/shop/noutbuk-asus-tuf-gaming-a15-fa506nf-hn009-15-6-1410826-graphite-black.html
"Ноутбук Asus VivoBook 16 X1605VA-MB135 16"" (90NB10N2-M009H0) cool silver",26499,https://cdn.27.ua/190/1e/b3/8003251_7.jpeg,/ua/shop/noutbuk-asus-vivobook-16-x1605va-mb135-16-90nb10n2-m009h0-cool-silver.html
"Ноутбук Acer Nitro V 15 NH.QSHEU.002 15,6"" (NH.QSHEU.002) black",34999,https://cdn.27.ua/190/3f/27/8929063_6.jpeg,/ua/shop/noutbuk-acer-nitro-v-15-nh-qsheu-002-15-6-black.html
"Ноутбук Acer A315-24P-R2WC 15,6"" (NX.KDEEU.008) silver",17999,https://cdn.27.ua/190/87/f9/7178233_9.jpeg,/ua/shop/noutbuk-acer-a315-24p-r2wc-15-6-nx-kdeeu-008-silver.html
"Ноутбук Acer Aspire 3 A315-59-560A 15,6"" (NX.K6TEU.01D) silver",22999,https://cdn.27.ua/190/30/b9/8859833_2.jpeg,/ua/shop/noutbuk-acer-aspire-3-a315-59-560a-15-6-nx-k6teu-01d-silver.html
"Ноутбук HP 15-fa0023ua 15,6"" (A0NV6EA)",36372,https://cdn.27.ua/190/61/a1/8741281_3.jpeg,/ua/shop/noutbuk-hp-15-fa0023ua-15-6-a0nv6ea.html
"Ноутбук Asus TUF Gaming A15 FA506NC-HN098 15,6"" (90NR0JF7-M00850) graphite black",35999,https://cdn.27.ua/190/38/e1/8665313_10.jpeg,/ua/shop/noutbuk-asus-tuf-gaming-a15-fa506nc-hn098-15-6-90nr0jf7-m00850-graphite-black.html
"Ноутбук Asus Vivobook 15 M1502YA-BQ018 15,6"" (90NB0X21-M000P0) quiet blue",30999,https://cdn.27.ua/190/24/55/8135765_7.jpeg,/ua/shop/noutbuk-asus-vivobook-15-m1502ya-bq018-15-6-90nb0x21-m000p0-quiet-blue.html
"Ноутбук Acer Nitro V 16 ANV16-41-R61U 16"" (NH.QRWEU.002) black",39999,https://cdn.27.ua/190/b6/59/8631897_1.jpeg,/ua/shop/noutbuk-acer-nitro-v-16-anv16-41-r61u-16-nh-qrweu-002-black.html
"Ноутбук Acer Aspire 5 A515-57G 15,6"" (NX.KMHEU.006) grey",28999,https://cdn.27.ua/190/f9/a3/8059299_9.jpeg,/ua/shop/noutbuk-acer-aspire-5-a515-57g-15-6-210-axkr-grey.html
